S.No,Category,title,categoryName,address,street,city,neighborhood,postalCode,state,countryCode,phone,phoneUnformatted,website,totalScore,reviewsCount,placeId,url,permanentlyClosed,temporarilyClosed,price,description,source
11,Food & Cafes,New Moti Chat Bhandar,Restaurant,"C-5, Block C, Malviya Nagar, New Delhi, Delhi 110016, India",C-5,New Delhi,"Block C, Malviya Nagar",110016,Delhi,IN,+91 88605 50002,9.19E+11,https://magicpin.in/New-Delhi/Malviya-Nagar/Restaurant/New-Moti-Chat-Bhandar/store/564bb8/?utm_source=gbp,5,2,ChIJSWqMEy4dDTkRiggMD8eEzrc,https://www.google.com/maps/search/?api=1&query=New%20Moti%20Chat%20Bhandar&query_place_id=ChIJSWqMEy4dDTkRiggMD8eEzrc,FALSE,FALSE,₹1–200,,Original scrape (files 1-3)
12,Food & Cafes,Nirula's Malviya Nagar,Fast food restaurant,"C 3, Old Market, Block C, Malviya Nagar, New Delhi, Delhi 110017, India",C 3,New Delhi,"Old Market, Block C, Malviya Nagar",110017,Delhi,IN,+91 1800 102 5247,,https://nirulas.com/,4,199,ChIJIZri_xviDDkRpU-qJhKaLUE,https://www.google.com/maps/search/?api=1&query=Nirula's%20Malviya%20Nagar&query_place_id=ChIJIZri_xviDDkRpU-qJhKaLUE,FALSE,FALSE,₹200–400,,Original scrape (files 1-3)
13,Food & Cafes,"Nothing Before Coffee - Malviya Nagar, New Delhi",Coffee shop,"Shop no 2&3, Ground Floor, A55, Old Market, Shivalik Colony, Malviya Nagar, New Delhi, Delhi 110017, India","Shop no 2&3, Ground Floor, A55",New Delhi,"Old Market, Shivalik Colony, Malviya Nagar",110017,Delhi,IN,+91 93542 15614,9.19E+11,https://stores.nothingbeforecoffee.com/nothing-before-coffee-in-delhi-delhi-new-delhi-60105,4.5,396,ChIJB5e8N2_jDDkRzhecGB-_Hgg,https://www.google.com/maps/search/?api=1&query=Nothing%20Before%20Coffee%20-%20Malviya%20Nagar%2C%20New%20Delhi&query_place_id=ChIJB5e8N2_jDDkRzhecGB-_Hgg,FALSE,FALSE,₹200–400,,Original scrape (files 1-3)
14,Food & Cafes,Olipo cafe & Best coffee cafe in malviya nagar,Cafe,"Old Market, Malviya Nagar, New Delhi, Delhi 110017, India",,New Delhi,"Old Market, Malviya Nagar",110017,Delhi,IN,+91 98703 66733,9.20E+11,https://www.instagram.com/olipocafe?igsh=Y3NwdTZyeWxsOGFx,4.9,224,ChIJcxhadADjDDkRCPuvcI9Ale4,https://www.google.com/maps/search/?api=1&query=Olipo%20cafe%20%26%20Best%20coffee%20cafe%20in%20malviya%20nagar&query_place_id=ChIJcxhadADjDDkRCPuvcI9Ale4,FALSE,FALSE,"₹200–1,000",,Original scrape (files 1-3)
15,Food & Cafes,Parkash Bakery - Bakery Shop In Malviya Nagar,Bakery,"Shop No. 22, Main Market, Old Market, Malviya Nagar, New Delhi, Delhi 110017, India","Shop No. 22, Main Market",New Delhi,"Old Market, Malviya Nagar",110017,Delhi,IN,+91 98911 11603,9.20E+11,https://www.instagram.com/parkashbakery_?igsh=MW1mNndsNjMyMzdtMA==,3.8,334,ChIJkS1LsBjiDDkRIykbboK6Qo0,https://www.google.com/maps/search/?api=1&query=Parkash%20Bakery%20-%20Bakery%20Shop%20In%20Malviya%20Nagar&query_place_id=ChIJkS1LsBjiDDkRIykbboK6Qo0,FALSE,FALSE,₹200–400,,Original scrape (files 1-3)
16,Food & Cafes,Rose Cafe,Cafe,"G6R and G7R1, Ground Floor, Eldeco Centre, Block A, Shivalik Colony, Malviya Nagar, New Delhi, Delhi 110017",G6R and G7R1,New Delhi,Malviya Nagar,110017,Delhi,IN,+91 98990 55665,9.20E+11,,4.1,3938,ChIJP7ynB-ThDDkRefXHodun2uQ,https://www.google.com/maps/place/?q=place_id:ChIJP7ynB-ThDDkRefXHodun2uQ,FALSE,FALSE,,,Google Places (collected 30-Jul-2026)
17,Food & Cafes,Sagar Ratna,South Indian restaurant,"Sagar Ratna Complex, C - 2, Main Market, Guru Gobind Singh Marg, Old Market, Block C, Malviya Nagar, New Delhi, Delhi 110017, India","Sagar Ratna Complex, C - 2, Main Market, Guru Gobind Singh Marg",New Delhi,"Old Market, Block C, Malviya Nagar",110017,Delhi,IN,+91 11 4036 6881,9.11E+11,http://www.sagarratna.in/,4.1,2849,ChIJnzLT_xviDDkRQ4FyPIHIj-s,https://www.google.com/maps/search/?api=1&query=Sagar%20Ratna&query_place_id=ChIJnzLT_xviDDkRQ4FyPIHIj-s,FALSE,FALSE,₹200–400,,Original scrape (files 1-3)
18,Food & Cafes,Street Foods by Punjab Grill- Malviya Nagar,North Indian restaurant,"ground floor, Unit Nos. A-1 to A-4, C-6, Block C, Geetanjali Enclave, Malviya Nagar, New Delhi, Delhi 110017, India","ground floor, Unit Nos. A-1 to A-4, C-6",New Delhi,"Old Market, Block C, Geetanjali Enclave, Malviya Nagar",110017,Delhi,IN,+91 84480 96558,9.18E+11,https://stores.lbf.co.in/store-pages/street-foods-by-punjab-grill-malviya-nagar-new-delhi/,4.8,206,ChIJNYOidw_hDDkR0Ew02bgauW8,https://www.google.com/maps/search/?api=1&query=Street%20Foods%20by%20Punjab%20Grill-%20Malviya%20Nagar&query_place_id=ChIJNYOidw_hDDkR0Ew02bgauW8,FALSE,FALSE,₹200–400,,Original scrape (files 1-3)
19,Food & Cafes,"TAN COFFEE | Shivalik, Delhi",Coffee shop,"C-73, Shivalik Rd, Block C, Malviya Nagar, New Delhi, Delhi 110017",C-73,New Delhi,Malviya Nagar,110017,Delhi,IN,+91 93114 00684,9.19E+11,,4.8,402,ChIJB0P-z7bjDDkRYBHoFmJVvf4,https://www.google.com/maps/place/?q=place_id:ChIJB0P-z7bjDDkRYBHoFmJVvf4,FALSE,FALSE,,,Google Places (collected 30-Jul-2026)
20,Food & Cafes,The Belgian Waffle Co,Dessert restaurant,"Shop No 4, Ground Floor, Bhalla Sadan, Building No 17, Saket, New Delhi, Delhi 110017, India","Shop No 4, Ground Floor, Bhalla Sadan, Building No 17",New Delhi,"Ashok Vihar, Saket",110017,Delhi,IN,+91 86578 91043,9.19E+11,https://thebelgianwaffle.co/,4.3,175,ChIJgTWe1f_hDDkRz9qysFaOL6A,https://www.google.com/maps/search/?api=1&query=The%20Belgian%20Waffle%20Co&query_place_id=ChIJgTWe1f_hDDkRz9qysFaOL6A,FALSE,FALSE,₹200–400,,Original scrape (files 1-3)
21,Food & Cafes,Verma Bakery,Bakery,"976-b/7, Old Post Office St, Ward Number 1, Mehrauli Village, Mehrauli, New Delhi, Delhi 110030, India","976-b/7, Old Post Office St",New Delhi,"Ward Number 1, Mehrauli Village, Mehrauli",110030,Delhi,IN,+91 98114 43993,9.20E+11,https://vermabakery.carrd.co/,3.8,177,ChIJv7rA2A4eDTkRJeO_x7PawLM,https://www.google.com/maps/search/?api=1&query=Verma%20Bakery&query_place_id=ChIJv7rA2A4eDTkRJeO_x7PawLM,FALSE,FALSE,"₹1–1,000",,Original scrape (files 1-3)
22,Shopping,Bangalore Diamond House,Novelty store,"G6P6+MH3, Basement, Guru Gobind Singh Marg, Block C, Malviya Nagar, New Delhi, Delhi 110017, India","G6P6+MH3, Basement, Guru Gobind Singh Marg",New Delhi,"Old Market, Block C, Malviya Nagar",110017,Delhi,IN,,,,2.7,18,ChIJm_syARziDDkRx3LoYZETB7M,https://www.google.com/maps/search/?api=1&query=Bangalore%20Diamond%20House&query_place_id=ChIJm_syARziDDkRx3LoYZETB7M,FALSE,FALSE,,,Original scrape (files 1-3)
23,Shopping,Cash Your Gold Om Shiv Jewellers,Gold dealer,"LGF - signature plaza, Main Market, A-55, Old Market, Shivalik Colony, Malviya Nagar, New Delhi, Delhi 110017, India","LGF - signature plaza, Main Market, A-55",New Delhi,"Old Market, Shivalik Colony, Malviya Nagar",110017,Delhi,IN,,,,5,4,ChIJQ7EGSZXjDDkROl_oA6bo9GY,https://www.google.com/maps/search/?api=1&query=Cash%20Your%20Gold%20Om%20Shiv%20Jewellers&query_place_id=ChIJQ7EGSZXjDDkROl_oA6bo9GY,FALSE,FALSE,,,Original scrape (files 1-3)
24,Shopping,Chaudhary Super Store,General store,"1b, Guru Gobind Singh Marg, near Hanuman Mandir, Old Market, Shivalik Colony, Malviya Nagar, New Delhi, Delhi 110017, India","1b, Guru Gobind Singh Marg, near Hanuman Mandir",New Delhi,"Old Market, Shivalik Colony, Malviya Nagar",110017,Delhi,IN,+91 98996 43604,9.20E+11,,3.8,135,ChIJZ6kPTRniDDkRqwxqpJUNOjk,https://www.google.com/maps/search/?api=1&query=Chaudhary%20Super%20Store&query_place_id=ChIJZ6kPTRniDDkRqwxqpJUNOjk,FALSE,FALSE,,,Original scrape (files 1-3)
25,Shopping,Cuty Fancy Dress Zone,Costume store,"H-15/7, Park, Gol Chakkar, opp. Captain Hitesh Mehta Marg, near by Malviya Nagar, Block H 6, Malviya Nagar, New Delhi, Delhi 110017, India","H-15/7, Park, Gol Chakkar, opp. Captain Hitesh Mehta Marg, near by Malviya Nagar",New Delhi,"Block H 6, Malviya Nagar",110017,Delhi,IN,+91 92115 39359,9.19E+11,,4,52,ChIJ1cRljB3iDDkRGMSRsbvkOgY,https://www.google.com/maps/search/?api=1&query=Cuty%20Fancy%20Dress%20Zone&query_place_id=ChIJ1cRljB3iDDkRGMSRsbvkOgY,FALSE,FALSE,,,Original scrape (files 1-3)
26,Shopping,Fashion Plaza,Clothing store,"3, Guru Gobind Singh Marg, below Central Bank of India, Old Market, Block C, Malviya Nagar, New Delhi, Delhi 110017, India","3, Guru Gobind Singh Marg, below Central Bank of India",New Delhi,"Old Market, Block C, Malviya Nagar",110017,Delhi,IN,+91 11 4052 9734,9.11E+11,,4.9,8,ChIJkS1LsBjiDDkR8z24Rb4AqbM,https://www.google.com/maps/search/?api=1&query=Fashion%20Plaza&query_place_id=ChIJkS1LsBjiDDkR8z24Rb4AqbM,FALSE,FALSE,,,Original scrape (files 1-3)
27,Shopping,Kanha Garments,Clothing store,"Ground Floor, Malviya Nagar Market, 90/64B, Malviya Nagar, New Delhi, Delhi 110017, India","Ground Floor, Malviya Nagar Market, 90/64B",New Delhi,Malviya Nagar,110017,Delhi,IN,+91 11 4106 3417,9.11E+11,,4.1,83,ChIJo02qvR7iDDkR_AKh-ce8YTk,https://www.google.com/maps/search/?api=1&query=Kanha%20Garments&query_place_id=ChIJo02qvR7iDDkR_AKh-ce8YTk,FALSE,FALSE,,,Original scrape (files 1-3)
28,Shopping,M/s. Dakhna Store,Grocery store,"Shop No. 7, Main Market, Malviya Nagar, New Delhi, Delhi 110017, India","Shop No. 7, Main Market, Malviya Nagar",New Delhi,"Old Market, Malviya Nagar",110017,Delhi,IN,+91 11 2668 1332,9.11E+11,,,,ChIJpWdWrR7iDDkRBwr6o5PUzlI,https://www.google.com/maps/search/?api=1&query=M%2Fs.%20Dakhna%20Store&query_place_id=ChIJpWdWrR7iDDkRBwr6o5PUzlI,FALSE,FALSE,,,Original scrape (files 1-3)
29,Shopping,Max,Shopping mall,"Main Market, C Block 8, next to Haldiram's, Malviya Nagar, New Delhi, Delhi 110017, India","Main Market, C Block 8, next to Haldiram's",New Delhi,"Old Market, Block C, Malviya Nagar",110017,Delhi,IN,+91 88008 25799,9.19E+11,https://stores.maxfashion.in/max-malviya-nagar-shopping-centre-malviya-nagar-new-delhi-130431/Home?utm_source=locator&utm_medium=googleplaces,3.9,381,ChIJRX1mVVTjDDkRq9HHQyoaGIc,https://www.google.com/maps/search/?api=1&query=Max&query_place_id=ChIJRX1mVVTjDDkRq9HHQyoaGIc,FALSE,FALSE,,,Original scrape (files 1-3)
30,Shopping,MiArcus,Baby store,"Ground Floor, C-8, Pocket 8, Sector C, Malviya Nagar, New Delhi, Delhi 110017, India","Ground Floor, C-8",New Delhi,"Pocket 8, Sector C, Malviya Nagar",110017,Delhi,IN,,,http://www.miarcus.com/,4.8,102,ChIJj1uVcJcdDTkRFPsZyJtpmkM,https://www.google.com/maps/search/?api=1&query=MiArcus&query_place_id=ChIJj1uVcJcdDTkRFPsZyJtpmkM,FALSE,FALSE,,,Original scrape (files 1-3)
31,Shopping,Neelam Fab,Clothing store,"GF Shop, 6, Guru Gobind Singh Marg, Old Market, Malviya Nagar, New Delhi, Delhi 110017, India","GF Shop, 6, Guru Gobind Singh Marg",New Delhi,"Old Market, Malviya Nagar",110017,Delhi,IN,+91 90130 09009,9.19E+11,https://www.neelamfab.in/,4.6,47,ChIJmxRQqR7iDDkRoIhh3oxMDWA,https://www.google.com/maps/search/?api=1&query=Neelam%20Fab&query_place_id=ChIJmxRQqR7iDDkRoIhh3oxMDWA,FALSE,FALSE,,,Original scrape (files 1-3)
32,Shopping,New Chhatwal Electrical,Electronics store,"Shop No. 1, New Market, Malviya Nagar, New Delhi, Delhi 110017, India","Shop No. 1, New Market",New Delhi,"Old Market, Shivalik Colony, Malviya Nagar",110017,Delhi,IN,+91 98182 26363,9.20E+11,,3.9,190,ChIJo2oETxniDDkRIR3ijORq-wQ,https://www.google.com/maps/search/?api=1&query=New%20Chhatwal%20Electrical&query_place_id=ChIJo2oETxniDDkRIR3ijORq-wQ,FALSE,FALSE,,,Original scrape (files 1-3)
33,Shopping,New Janta Book Depot,Book store,"Main Market, D-85, Shivalik Rd, Shvalik, DDA Flats, Malviya Nagar, New Delhi, Delhi 110017, India","Main Market, D-85, Shivalik Rd",New Delhi,"Shvalik, DDA Flats, Malviya Nagar",110017,Delhi,IN,+91 98110 29298,9.20E+11,,4.2,838,ChIJAXoPPBziDDkRiTCZNxebi-s,https://www.google.com/maps/search/?api=1&query=New%20Janta%20Book%20Depot&query_place_id=ChIJAXoPPBziDDkRiTCZNxebi-s,FALSE,FALSE,,"Warm, sprawling venue for all kinds of books, including academic volumes and children's titles, as well as art supplies.",Original scrape (files 1-3)
34,Shopping,Royal Shoes,Shoe store,"Shop No - 10, Main, Old Market, Malviya Nagar, Delhi, 110017, India","Shop No - 10, Main","Delhi, New Delhi","Old Market, Malviya Nagar",110017,Delhi,IN,+91 74000 51010,9.17E+11,https://www.facebook.com/profile.php?id=61555880010181&mibextid=opq0tG,4.3,78,ChIJcaJcrB7iDDkRYwOOnk6nvLw,https://www.google.com/maps/search/?api=1&query=Royal%20Shoes&query_place_id=ChIJcaJcrB7iDDkRYwOOnk6nvLw,FALSE,FALSE,,,Original scrape (files 1-3)
35,Shopping,SK Jewellers,Jewelry store,"C-6 Ground floor,Main Market, Malviya Nagar, New Delhi, Delhi 110017, India","C-6 Ground floor,Main Market",New Delhi,"Old Market, Block C, Malviya Nagar",110017,Delhi,IN,+91 85860 48080,9.19E+11,,3.8,96,ChIJo646QxziDDkRO19ve6GLllg,https://www.google.com/maps/search/?api=1&query=SK%20Jewellers&query_place_id=ChIJo646QxziDDkRO19ve6GLllg,FALSE,FALSE,,,Original scrape (files 1-3)
36,Shopping,Sahni Watch House,Watch store,"21, Main Market, Guru Gobind Singh Marg, Malviya Nagar, New Delhi, Delhi 110017, India","21, Main Market, Guru Gobind Singh Marg",New Delhi,"Old Market, Malviya Nagar",110017,Delhi,IN,+91 11 2668 8435,9.11E+11,,3.7,208,ChIJkS1LsBjiDDkRqkE3rFS13ow,https://www.google.com/maps/search/?api=1&query=Sahni%20Watch%20House&query_place_id=ChIJkS1LsBjiDDkRqkE3rFS13ow,FALSE,FALSE,,,Original scrape (files 1-3)
37,Shopping,Selection House,Clothing store,"603, 2, Central Rd, Jangpura, Samman Bazar, Bhogal, New Delhi, Delhi 110014, India","603, 2, Central Rd",New Delhi,"Jangpura, Samman Bazar, Bhogal",110014,Delhi,IN,+91 78381 21181,9.18E+11,,4.9,17,ChIJM8EzrQfjDDkRV26zq3ayMio,https://www.google.com/maps/search/?api=1&query=Selection%20House&query_place_id=ChIJM8EzrQfjDDkRV26zq3ayMio,FALSE,FALSE,,,Original scrape (files 1-3)
38,Shopping,Sleepwell Gallery - Ramsons Furnishings,Mattress store,"Main Market, Shop No 30, Old, nearby Neelam Fab, Malviya Nagar, New Delhi, Delhi 110017, India","Main Market, Shop No 30, Old, nearby Neelam Fab",New Delhi,"Old Market, Malviya Nagar",110017,Delhi,IN,+91 8071 640 348,9.18E+11,https://storesnearme.mysleepwell.com/%20sleepwell/mattress-stores-in-new-delhi/mattress-stores-in-Malviya-Nagar/sleepwell-gallery-ramsons-in-Malviya-Nagar-new-delhi--6fgOfN/home,4.5,90,ChIJpTtUqB7iDDkRKl7SBtuROXY,https://www.google.com/maps/search/?api=1&query=Sleepwell%20Gallery%20-%20Ramsons%20Furnishings&query_place_id=ChIJpTtUqB7iDDkRKl7SBtuROXY,FALSE,FALSE,,,Original scrape (files 1-3)
39,Shopping,The Gift Shop,Gift shop,"Main Market, 14, Malviya Nagar, New Delhi, Delhi 110017, India","Main Market, 14",New Delhi,"Old Market, Malviya Nagar",110017,Delhi,IN,+91 11 4183 1153,9.11E+11,,4.5,21,ChIJi_FNrB7iDDkRxxjQ0u7qjyQ,https://www.google.com/maps/search/?api=1&query=The%20Gift%20Shop&query_place_id=ChIJi_FNrB7iDDkRxxjQ0u7qjyQ,FALSE,FALSE,,,Original scrape (files 1-3)
40,Shopping,The Mobile Lounge,Cell phone store,"Shop No - 21, New Market, Block B, Shivalik Colony, Malviya Nagar, New Delhi, Delhi 110017",Shop No - 21,New Delhi,Malviya Nagar,110017,Delhi,IN,+91 88004 45522,9.19E+11,,4.6,299,ChIJkf9OOBniDDkREaO53f2vsWU,https://www.google.com/maps/place/?q=place_id:ChIJkf9OOBniDDkREaO53f2vsWU,FALSE,FALSE,,,Google Places (collected 30-Jul-2026)
41,Shopping,Vals Men,Men's clothing store,"A55, Old Market, Block A, Shivalik Colony, Malviya Nagar, New Delhi, Delhi 110017, India",A55,New Delhi,"Old Market, Block A, Shivalik Colony, Malviya Nagar",110017,Delhi,IN,+91 11 4183 0003,9.11E+11,https://www.instagram.com/vals.men?igsh=MWJ3azgyOHcyc3dyeQ==,4.5,194,ChIJ1YvqRBniDDkRhn4ijZxuKuc,https://www.google.com/maps/search/?api=1&query=Vals%20Men&query_place_id=ChIJ1YvqRBniDDkRhn4ijZxuKuc,FALSE,FALSE,,,Original scrape (files 1-3)
42,Shopping,Verma Home Appliances,Countertop store,"Shop no. 3, Old Market, Malviya Nagar, New Delhi, Delhi 110017, India",Shop no. 3,New Delhi,"Old Market, Malviya Nagar",110017,Delhi,IN,+91 98181 28812,9.20E+11,http://www.vermahomestore.com/,4.6,151,ChIJm7GqTRniDDkR_NuY8J30aWY,https://www.google.com/maps/search/?api=1&query=Verma%20Home%20Appliances&query_place_id=ChIJm7GqTRniDDkR_NuY8J30aWY,FALSE,FALSE,,,Original scrape (files 1-3)
43,Shopping,guru kripa garments,Men's clothing store,"Palika Bazar, Siddharth Nagar, Sector 9, Malviya Nagar, Jaipur, Rajasthan 302017, India",,Jaipur,"Palika Bazar, Siddharth Nagar, Sector 9, Malviya Nagar",302017,Rajasthan,IN,+91 97993 84455,9.20E+11,,5,112,ChIJTS6qhwq2bTkRZXMZHDgb6cU,https://www.google.com/maps/search/?api=1&query=guru%20kripa%20garments&query_place_id=ChIJTS6qhwq2bTkRZXMZHDgb6cU,FALSE,FALSE,,,Original scrape (files 1-3)
44,Beauty & Healthcare,Anand Chemist,Drug store,"Shop No. 1 & 2, A-78,, Malviya Nagar, New Delhi, Delhi 110070, India","Shop No. 1 & 2, A-78,, Malviya Nagar",New Delhi,"Kishangarh Village, Vasant Kunj",110070,Delhi,IN,+91 98110 34726,9.20E+11,,5,14,ChIJQZ6mVhniDDkRiPi5p7fOHm4,https://www.google.com/maps/search/?api=1&query=Anand%20Chemist&query_place_id=ChIJQZ6mVhniDDkRiPi5p7fOHm4,FALSE,FALSE,,,Original scrape (files 1-3)
45,Beauty & Healthcare,Apollo Pharmacy Malviya Nagar,Pharmacy,"Shop No 18, Old Market, Shivalik Colony, Malviya Nagar, New Delhi, Delhi 110017",Shop No 18,New Delhi,Malviya Nagar,110017,Delhi,IN,+91 11 4007 3120,9.11E+11,,4,99,ChIJtzGpUx7iDDkRZF1Rq5NMLjI,https://www.google.com/maps/place/?q=place_id:ChIJtzGpUx7iDDkRZF1Rq5NMLjI,FALSE,FALSE,,,Google Places (collected 30-Jul-2026)
46,Beauty & Healthcare,CHITRA MAKEOVERS,Make-up artist,"G-6/1, near Arora associate, Block G, Malviya Nagar, New Delhi, Delhi 110017",G-6/1,New Delhi,Malviya Nagar,110017,Delhi,IN,+91 95604 72217,9.20E+11,,4.8,485,ChIJ9x7NEfLjDDkRN6284Ec8Njo,https://www.google.com/maps/place/?q=place_id:ChIJ9x7NEfLjDDkRN6284Ec8Njo,FALSE,FALSE,,,Google Places (collected 30-Jul-2026)
47,Beauty & Healthcare,"Clove Dental Clinic - Shivalik, Delhi",Dental clinic,"Shivalik Rd, Block B, Shivalik Colony, Malviya Nagar, New Delhi, Delhi 110017",Shivalik Rd,New Delhi,Malviya Nagar,110017,Delhi,IN,+91 11 6927 1072,9.11E+11,,4.8,2333,ChIJ_5e_Kx3iDDkRWEptFcA7wFg,https://www.google.com/maps/place/?q=place_id:ChIJ_5e_Kx3iDDkRWEptFcA7wFg,FALSE,FALSE,,,Google Places (collected 30-Jul-2026)
